trajectory_id,model,policy,model_run_id,data_file,data_path,num_samples,task_success,task_completion,task_completion_time_s,executed_steps,final_goal_error,initial_goal_error,min_distance_to_obstacle_surface,control_hz,target_control_dt_s,measured_hz,measured_loop_dt_mean_s,measured_loop_dt_p95_s,inference_dt_mean_s,inference_dt_p95_s,control_overrun_ratio,start_xyz,goal_xyz,obstacle_xyz,obstacle_radius,goal_tolerance,reached_goal,timed_out,max_steps,ckpt,action_select,elapsed_time_s,model_type,num_candidates,safety_margin,safety_shield
0,diffusion,diffusion,0,p2p_diffusion_data_000.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_000.npz,25348,True,1.0,316.1875,25295,0.0003960772883147001,0.3825845420360565,0.026084285229444504,80.0,0.0125,80.05701067847507,0.012491098425048613,0.012519452778516071,0.15377685203602548,0.15980764229869676,0.5119324221140436,"[0.1820523589849472, 0.1537894308567047, 0.05107047036290169]","[0.564262330532074, 0.1369393765926361, 0.0494745709002018]","[0.36915871500968933, 0.16817866265773773, 0.05055443197488785]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,316.69979318423515,,,,
1,diffusion,diffusion,1,p2p_diffusion_data_001.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_001.npz,25299,True,1.0,315.7625,25261,0.004925247747451067,0.36265137791633606,0.04454353079199791,80.0,0.0125,80.02650349925457,0.012495860199731389,0.012532200644954068,0.15346255091080352,0.1584902035075302,0.5231094242047988,"[0.18252135813236237, 0.1283741295337677, 0.052228156477212906]","[0.5440770387649536, 0.15624040365219116, 0.04810759425163269]","[0.3748484253883362, 0.13968902826309204, 0.04832153022289276]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,316.03833759219685,,,,
2,diffusion,diffusion,2,p2p_diffusion_data_002.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_002.npz,25546,True,1.0,319.025,25522,0.003934310283511877,0.36560550332069397,0.041994739323854446,80.0,0.0125,80.00194163093498,0.012499696627529377,0.012528539760073811,0.147049198386516,0.15553084830281802,0.5060420680269425,"[0.19120603799819946, 0.15497416257858276, 0.04953441768884659]","[0.5566348433494568, 0.1661708503961563, 0.051483362913131714]","[0.36431941390037537, 0.16660237312316895, 0.05003872141242027]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,319.3592330708325,,,,
3,diffusion,diffusion,3,p2p_diffusion_data_003.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_003.npz,25155,True,1.0,313.8875,25111,0.00221755588427186,0.3733537495136261,0.06121942028403282,80.0,0.0125,80.0083438028263,0.012498696416768908,0.012523250187699864,0.15454572986175139,0.16284050295753802,0.5255354351648202,"[0.17661921679973602, 0.15669430792331696, 0.04892927408218384]","[0.5499126315116882, 0.15005405247211456, 0.049916718155145645]","[0.3567347824573517, 0.1664472371339798, 0.04991534724831581]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,314.31664199463665,,,,
4,diffusion,diffusion,4,p2p_diffusion_data_004.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_004.npz,25027,True,1.0,312.2375,24979,0.0012297125067561865,0.3807276785373688,0.04109269008040428,80.0,0.0125,79.95127847794967,0.01250761737694785,0.012532924880718159,0.1482469508583751,0.15488538408873825,0.5073660408083251,"[0.18332937359809875, 0.1487613171339035, 0.04914507269859314]","[0.5639406442642212, 0.139458566904068, 0.050585679709911346]","[0.3579499423503876, 0.15119850635528564, 0.051172949373722076]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,312.65057780680775,,,,
5,diffusion,diffusion,5,p2p_diffusion_data_005.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_005.npz,25149,True,1.0,314.0375,25123,0.0023928447626531124,0.3714786469936371,0.032805707305669785,80.0,0.0125,80.01290898845778,0.012497983295973583,0.012527705738337952,0.1508551025160171,0.15713524828232975,0.5173082539138678,"[0.17742820084095, 0.1545730084180832, 0.050590887665748596]","[0.5488684773445129, 0.14923499524593353, 0.050464458763599396]","[0.35765889286994934, 0.13588736951351166, 0.048466991633176804]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,314.53626985882516,,,,
6,diffusion,diffusion,6,p2p_diffusion_data_006.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_006.npz,25140,True,1.0,313.7875,25103,0.0046849800273776054,0.3616582751274109,0.04804317280650139,80.0,0.0125,80.02144976036158,0.012496649373320245,0.012523039415815632,0.15613255989462255,0.1624482982986379,0.4926988695313442,"[0.18515484035015106, 0.13278880715370178, 0.0485365055501461]","[0.5465179085731506, 0.14727425575256348, 0.05043761432170868]","[0.3626357316970825, 0.14029791951179504, 0.04984506592154503]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,314.2010363934303,,,,
7,diffusion,diffusion,7,p2p_diffusion_data_007.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_007.npz,24962,True,1.0,311.7625,24941,0.003004777245223522,0.37849974632263184,0.0481686033308506,80.0,0.0125,79.97325040972339,0.012504181021488368,0.012523824532518813,0.15223510052892053,0.15965488115333532,0.4706314124840689,"[0.18183065950870514, 0.15785916149616241, 0.04981410130858421]","[0.560324490070343, 0.15991799533367157, 0.04932546988129616]","[0.35511940717697144, 0.15994012355804443, 0.0500066913664341]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,312.01516049597694,,,,
8,diffusion,diffusion,8,p2p_diffusion_data_008.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_008.npz,25284,True,1.0,315.5125,25241,0.00513186352327466,0.3384397327899933,0.05701706185936928,80.0,0.0125,79.9886766712427,0.012501769520579119,0.012522833543265515,0.15113396313486108,0.16052737343998028,0.44645830422994315,"[0.19652071595191956, 0.16164393723011017, 0.047747693955898285]","[0.5348145365715027, 0.1518968641757965, 0.0496809296309948]","[0.3617038130760193, 0.1482851356267929, 0.04990187659859657]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,315.9729055564695,,,,
9,diffusion,diffusion,9,p2p_diffusion_data_009.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_009.npz,25122,True,1.0,313.4125,25073,0.0032825993839651346,0.3807045519351959,0.059902969747781754,80.0,0.0125,79.99871137565403,0.012500201350797378,0.012536586526765921,0.14943273839052365,0.1567434207441637,0.5495264831439624,"[0.17747026681900024, 0.1564125269651413, 0.050387803465127945]","[0.5572836399078369, 0.13038328289985657, 0.04988842457532883]","[0.35954999923706055, 0.15526050329208374, 0.049172542989254]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,313.8225498128993,,,,
10,diffusion,diffusion,10,p2p_diffusion_data_010.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_010.npz,24589,True,1.0,306.9375,24555,0.005148429423570633,0.357932984828949,0.034785497933626175,80.0,0.0125,80.0232551955665,0.012496367431643828,0.012515584970380588,0.14917054824496245,0.15643869605009883,0.4690098365162474,"[0.18340271711349487, 0.1427302062511444, 0.04699999839067459]","[0.5412091016769409, 0.1340326964855194, 0.0508665069937706]","[0.3569299876689911, 0.16737598180770874, 0.051165852695703506]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,307.4357375002128,,,,
11,diffusion,diffusion,11,p2p_diffusion_data_011.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_011.npz,25317,True,1.0,315.8375,25267,0.0033161237370222807,0.3775273859500885,0.06807665526866913,80.0,0.0125,80.01996088083513,0.012496881890372194,0.012520650020261112,0.15161773874973816,0.15657249964708228,0.5088792054661172,"[0.17756469547748566, 0.15275397896766663, 0.04961910843849182]","[0.5538581609725952, 0.12225832045078278, 0.05001583322882652]","[0.3425499498844147, 0.1625005006790161, 0.05042167752981186]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,316.32620453977006,,,,
12,diffusion,diffusion,12,p2p_diffusion_data_012.npz,logs/p2p_rollout_50/npz/p2p_diffusion_data_012.npz,24837,True,1.0,309.9125,24793,0.0011559233535081148,0.37241190671920776,0.07249411940574646,80.0,0.0125,80.00253566408581,0.012499603815043992,0.012526490881750972,0.1557924968450061,0.16462915924187857,0.5330690084512952,"[0.18650205433368683, 0.15506385266780853, 0.05097808688879013]","[0.5588182806968689, 0.16349081695079803, 0.05048738047480583]","[0.3580179512500763, 0.13388343155384064, 0.04928864911198616]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_diffusion_v1/diffusion_ckpt_best.pt,,310.25283817309713,,,,
